,indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,ventas_totales_medio_pago,efectivo,Unnamed: 0,salon_ventas,canales_on_line
0,01/01/2017,27858.9,27477.3,27858872.08,27858872.08,10230100.13,0,27591730.13,267141.956
1,01/02/2017,25994.2,25223.4,25994200.17,25994200.17,9719067.341,1,25749179.4,245020.769
2,01/03/2017,27780.0,26334.3,27780006.52,27780006.52,10244442.51,2,27472228.72,307777.804
3,01/04/2017,29134.3,27045.9,29134272.22,29134272.22,10312632.37,3,28827479.49,306792.733
4,01/05/2017,27969.0,25631.9,27969004.68,27969004.68,10147613.34,4,27569311.41,399693.262
5,01/06/2017,29132.7,26365.4,29132712.74,29132712.74,10565493.5,5,28763865.42,368847.326
6,01/07/2017,31182.3,27819.4,31182302.46,31182302.46,10905912.74,6,30815311.77,366990.683
7,01/08/2017,31154.9,27394.1,31154880.94,31154880.94,11041625.27,7,30763355.89,391525.052
8,01/09/2017,30521.5,26404.3,30521506.2,30521506.2,10789170.33,8,30135595.7,385910.498
9,01/10/2017,32446.0,27766.7,32445983.01,32445983.01,11220307.43,9,31980223.91,465759.1013
10,01/11/2017,33629.0,28425.3,33628982.66,33628982.66,11657995.8,10,33122387.95,506594.7055
11,01/12/2017,40766.3,34084.5,40766322.1,40766322.1,13710305.37,11,40320285.28,446036.8247
12,01/01/2018,32479.2,26736.7,3208.00557,32479208.01,11705433.57,12,32103107.86,376100.1496
13,01/02/2018,31736.8,25650.7,31736824.55,31736824.55,10720300.95,13,69104127.6,379379.7186
14,01/03/2018,36531.3,28846.7,36531291.33,36531291.33,12955730.46,14,69104127.6,475878.274
15,01/04/2018,34113.7,26429.5,34113745.67,34113745.67,11685359.59,15,69104127.6,491474.6886
16,01/05/2018,35133.1,26430.5,35133146.39,35133146.39,11925300.09,16,69104127.6,725754.7977
17,01/06/2018,38338.2,27465.9,38338209.75,38338209.75,13517215.49,17,69104127.6,593413.6363
18,01/07/2018,39278.4,27033.4,39278449.96,39278449.96,14061294.34,18,69104127.6,581799.0562
19,01/08/2018,39491.9,26267.3,39491907.27,39491907.27,13783068.02,19,38852702.48,639204.7898
20,01/09/2018,39925.5,24310.8,39925549.0,39925549.0,14307986.24,20,39313002.17,612546.8226
21,01/10/2018,43420.3,25010.5,43420253.82,43420253.82,15413337.43,21,42646486.71,773767.1168
22,01/11/2018,44849.4,24891.7,44849446.01,44849446.01,15412653.11,22,44076960.79,772485.2141
23,01/12/2018,57204.0,31136.1,57203955.86,57203955.86,19372979.31,23,56452356.42,751599.4412
24,01/01/2019,45433.6,23888.7,45433623.71,45433623.71,16005633.83,24,44740575.24,693048.4704
25,01/02/2019,44592.1,22542.0,44592144.9,44592144.9,15466783.51,25,43914187.06,677957.8398
26,01/03/2019,51065.7,24647.7,51065694.25,51065694.25,17737278.5,26,50347782.68,717911.5715
27,01/04/2019,49621.4,23073.8,49621409.28,49621409.28,17102015.74,27,48939565.17,681844.104
28,01/05/2019,50778.3,22852.1,50778299.91,50778299.91,17247751.27,28,49813853.04,964446.8743
29,01/06/2019,54413.4,23803.4,54413419.61,54413419.61,17995550.11,29,53591716.25,821703.3617
30,01/07/2019,55044.5,23580.1,55044482.26,55044482.26,18548992.46,30,54121341.62,923140.633
31,01/08/2019,59672.1,24329.9,59672104.46,59672104.46,19745340.25,31,58647926.48,1024177.978
32,01/09/2019,57885.3,22144.7,57885306.41,57885306.41,19561438.28,32,56887830.18,997476.2268
33,01/10/2019,66325.6,24652.7,66325579.59,66325579.59,21884744.73,33,65144928.12,1180651.478
34,01/11/2019,67943.7,24270.7,67943710.19,67943710.19,22763201.55,34,66454203.74,1489506.445
35,01/12/2019,83524.6,29147.9,83524644.29,83524644.29,27960470.5,35,82246180.68,1278463.614
36,01/01/2020,70145.0,23483.3,70145010.27,70145010.27,25121140.42,36,69104127.61,1040882.661
37,01/02/2020,72494.4,23702.0,72494433.66,72494433.66,23982883.64,37,71514175.15,980258.5147
38,01/03/2020,85778.0,26996.7,85778031.09,85778031.09,26532575.53,38,84174875.51,1603155.575
39,01/04/2020,75009.6,23142.7,75009596.64,75009596.64,22263621.15,39,71798954.71,3210641.929
40,01/05/2020,78594.5,24012.7,78594521.82,78594521.82,24917663.39,40,74966605.03,3627916.795
41,01/06/2020,78232.9,23449.5,78232859.6,78232859.6,24031410.14,41,74554853.96,3678005.643
42,01/07/2020,211140.7,50791.4,81140696.22,81140696.22,24935747.29,42,76413721.76,4726974.457
43,01/08/2020,80412.0,22953.0,80411973.29,80411973.29,24868416.65,43,76406528.27,4005445.016
44,01/09/2020,77055.8,21628.0,77055774.36,77055774.36,24268469.26,44,73111415.16,3944359.195
45,01/10/2020,89224.3,24105.8,89224281.05,89224281.05,27348110.5,45,84622602.75,4601678.305
46,01/11/2020,200.5,24010.7,91093507.31,91093507.31,28832513.45,46,86255330.61,4838176.706
47,01/12/2020,115806.1,29931.1,115806128.1,115806128.1,36284788.05,47,111830218.6,3975909.551
48,01/01/2021,98007.6,24420.0,98007583.25,98007583.25,31878415.61,48,94524545.27,3483037.987
49,01/02/2021,92954.2,22322.6,92954233.68,92954233.68,30090418.94,49,89908053.02,3046180.666
50,01/03/2021,107225.9,24627.6,107225884.5,107225884.5,33646699.76,50,103243215.3,3982669.194
51,01/04/2021,106870.2,23407.5,106870185.9,106870185.9,33030717.34,51,102742178.6,4128007.244
52,01/05/2021,110604.7,23368.4,110604694.6,110604694.6,33391018.41,52,104997658.2,5607036.33
53,01/06/2021,116287.9,23678.0,116287893.0,116287893.0,34735136.74,53,111477594.5,4810298.41
54,01/07/2021,125658.6,24779.5,125658552.5,125658552.5,37973547.56,54,120904098.3,4754454.215
55,01/08/2021,124840.3,23990.1,124840320.0,124840320.0,38180625.56,55,120181530.9,4658789.02
56,01/09/2021,123002.3,22962.0,123002252.4,123002252.4,38080750.86,56,118585472.2,4416780.259
57,01/10/2021,140487.5,25386.7,140487487.3,140487487.3,43323345.69,57,136000643.3,4486843.92
58,01/11/2021,141702.0,25026.6,141701960.7,141701960.7,43762928.15,58,135950778.8,5751181.809
59,01/12/2021,183983.2,31595.7,183983151.9,183983151.9,56640033.15,59,70350400.9,5116430.634
60,01/01/2022,154517.1,45463.4,154517094.2,154517094.2,46962602.22,60,149697614.6,4819479.554
61,01/02/2022,152202.6,23802.1,152202573.4,152202573.4,46290956.21,61,148406529.3,3796044.076
62,01/03/2022,16.5,24612.4,168982502.3,168982502.3,51262080.99,62,164321107.3,466134.9981
63,01/04/2022,177148.1,24140.5,177148082.8,177148082.8,53189998.68,63,70350400.9,4144283.743
64,01/05/2022,179639.2,23234.2,179639238.6,179639238.6,52738110.62,64,70350400.9,4280751.113
